Time,force_x,force_y,force_z
3.336,51.52043206303236,0.1017220268536421,52.44418627392706
3.337,51.52875394659741,0.10222415434968031,52.45471652516109
3.338,51.53713600623378,0.10272546204574824,52.46531020002605
3.339,51.54557784843901,0.10322594383292981,52.475966888178796
3.34,51.5540790683029,0.10372559312488497,52.48668616802375
3.341,51.56263924996868,0.1042244038570749,52.49746760716951
3.342,51.5712579662523,0.1047223698551083,52.50831076204303
3.343,51.57993477905393,0.1052194850242054,52.51921517829101
3.344,51.58866923926196,0.10571574344680282,52.53018039068286
3.345,51.59746088683828,0.10621113906291785,52.54120592320272
3.346,51.60630925088939,0.10670566466552414,52.55229128908987
3.347,51.615213849880234,0.10719931604976803,52.563435991065305
3.348,51.624174191557294,0.10769208584245914,52.57463952124527
3.349,51.633189773151436,0.10818396828866234,52.5859013613378
3.35,51.64226008141915,0.10867495806189006,52.597220982678984
3.351,51.65138459268217,0.10916504798117979,52.608597846268076
3.352,51.66056277309129,0.10965423268454379,52.620031403014366
3.353,51.669794078637764,0.11014250694195962,52.63152109377079
3.354,51.67907795518064,0.1106298630112591,52.643066349322844
3.355,51.68841383872099,0.1111162974092504,52.65466659067598
3.356,51.697801155417146,0.11160180285189625,52.66632122906567
3.357,51.70723932176197,0.11208637356907193,52.678029666118206
3.358,51.716727744623505,0.11257000357044357,52.68979129388903
3.359,51.72626582150847,0.11305268779304992,52.701605495137784
3.36,51.73585294052753,0.11353441970080766,52.713471643260974
3.361,51.745488480635174,0.11401519412090384,52.72538910253762
3.362,51.75517181191399,0.11449500540649749,52.73735722841328
3.363,51.76490229532653,0.11497384788588322,52.74937536723892
3.364,51.7746792832114,0.11545171553578593,52.76144285676572
3.365,51.784502119274755,0.11592860286880108,52.77355902612385
3.366,51.794370138803686,0.11640450409354995,52.785723196029906
3.367,51.804282668893386,0.11687941461422151,52.797934679029005
3.368,51.81423902835924,0.11735332789536762,52.81019277936884
3.369,51.82423852822653,0.1178262393448305,52.82249679350834
3.37,51.834280471642955,0.11829814254533322,52.83484601000571
3.371,51.84436415419591,0.11876903286922906,52.84723970985084
3.372,51.854488863966125,0.11923890454559292,52.859677166493086
3.373,51.86465388182905,0.11970775233952122,52.872157646143634
3.374,51.87485848171067,0.12017557106497932,52.88468040803053
3.375,51.885101930401056,0.12064235537403316,52.89724470420474
3.376,51.89538348822127,0.12110809961869164,52.90984978018837
3.377,51.90570240883588,0.12157279978194607,52.92249487480439
3.378,51.91605793975642,0.12203644953411509,52.93517922065519
3.379,51.92644932225338,0.12249904409412712,52.94790204403337
3.38,51.93687579177249,0.12296057871518058,52.96066256532611
3.381,51.947336578060366,0.12342104808687988,52.97345999916658
3.382,51.95783090527361,0.12388044689064064,52.98629355448171
3.383,51.96835799250458,0.12433877102344838,52.9991624350714
3.384,51.97891705356912,0.12479601493569477,53.01206583933657
3.385,51.98950729763888,0.12525217416922574,53.02500296095285
3.386,52.000127929042904,0.12570724324147695,53.03797298862755
3.387,52.01077814789635,0.12616121772371067,53.05097510674684
3.388,52.02145715012815,0.1266140934045327,53.06400849539422
3.389,52.032164127648635,0.1270658646586183,53.07707233050422
3.39,52.04289826869606,0.12751652801466642,53.09016578419481
3.391,52.05365875805466,0.12796607730187667,53.1032880250131
3.392,52.064444777295805,0.12841450881738545,53.11643821813953
3.393,52.07525550491727,0.12886181819884326,53.129615525525814
3.394,52.08609011677675,0.1293080007991645,53.14281910633746
3.395,52.09694778612372,0.12975305196897033,53.15604811695989
3.396,52.107827683985995,0.13019696750840903,53.16930171139954
3.397,52.11872897939376,0.1306397429078823,53.18257904149589
3.398,52.12965083963011,0.1310813739189743,53.19587925715037
3.399,52.14059243042142,0.13152185682654013,53.20920150652724
3.4,52.15155291628933,0.13196118614891167,53.22254493639952
3.401,52.162531460771156,0.13239935878655557,53.23590869236254
3.402,52.173527226643664,0.13283637089155417,53.249291919044005
3.403,52.18453937615013,0.13327221705482623,53.26269376033552
3.404,52.195567071510794,0.13370689448761047,53.27611335989187
3.405,52.20660947477438,0.13414039873117017,53.289549860977516
3.406,52.21766574847066,0.13457272597011088,53.30300240711777
3.407,52.22873505565837,0.13500387203217792,53.31647014214397
3.408,52.23981656022944,0.13543383349537633,53.32995221047172
3.409,52.25090942723146,0.135862606108169,53.3434477574397
3.41,52.26201282310556,0.13629018640000962,53.35695592954321
3.411,52.27312591593477,0.13671657089671424,53.37047587465727
3.412,52.28424787577708,0.13714175527713304,53.38400674238099
3.413,52.29537787484736,0.13756573673136152,53.39754768422282
3.414,52.306515087919095,0.1379885115936015,53.41109785395476
3.415,52.317658692428346,0.13841007659187474,53.42465640776368
3.416,52.32880786894324,0.1388304272582737,53.43822250468503
3.417,52.33996180122515,0.1392495604399552,53.451795306666895
3.418,52.35111967675998,0.1396674732856817,53.46537397908914
3.419,52.362280686748484,0.14008416219480457,53.47895769076738
3.42,52.373444026627524,0.14049962445875108,53.49254561444195
3.421,52.38460889623889,0.14091385631126138,53.50613692696292
3.422,52.39577450006235,0.1413268547597503,53.519730809517974
3.423,52.40694004751158,0.1417386161910725,53.533326447903846
3.424,52.41810475335721,0.14214913869073859,53.546923032968785
3.425,52.42926783774823,0.14255841778575343,53.56051976061324
3.426,52.44042852664361,0.14296645201349678,53.5741158322191
3.427,52.45158605211787,0.1433732373284301,53.58771045495764
3.428,52.46273965253454,0.14377877107705272,53.601302841947074
3.429,52.47388857280102,0.14418305081515365,53.61489221251784
3.43,52.48503206483687,0.14458607332668172,53.628477792659496
3.431,52.49616938746813,0.14498783626331796,53.642058814920794
3.432,52.507299807171776,0.14538833642402332,53.65563451915212
3.433,52.518422597892155,0.14578757182663946,53.66920415230267
3.434,52.52953704159215,0.14618553924902156,53.68276696898675
3.435,52.54064242846164,0.14658223701409956,53.69632223166891
3.436,52.551738057055665,0.14697766101620433,53.70986921081489
3.437,52.56282323472045,0.1473718106888747,53.723407185300985
3.438,52.573897277707694,0.147764682399833,53.73693544253473
3.439,52.58495951153989,0.14815627415317065,53.75045327879934
3.44,52.59600927119175,0.14854658372201007,53.76395999944667
3.441,52.607045901341344,0.14893560824863739,53.77745491914259
3.442,52.61806875667621,0.14932334617408663,53.790937362159646
3.443,52.62907720207664,0.14970979538504586,53.80440666256577
3.444,52.64007061288097,0.15009495275910287,53.817862164484715
3.445,52.65104837513524,0.1504788172700992,53.83130322232515
3.446,52.66200988578435,0.15086138658964773,53.84472920100197
3.447,52.67295455295815,0.1512426577065359,53.85813947618272
3.448,52.68388179617573,0.15162263007347232,53.87153343451874
3.449,52.69479104661399,0.1520013007421154,53.884910473882776
3.45,52.70568174717682,0.15237866809132897,53.89827000345341
3.451,52.71655335290422,0.1527547306865544,53.91161144410716
3.452,52.72740533116864,0.15312948620843728,53.92493422863643
3.453,52.73823716171113,0.15350293218197536,53.93823780174079
3.454,52.74904833701148,0.15387506864634135,53.95152162044635
3.455,52.759838362471434,0.15424589261701677,53.96478515423186
3.456,52.77060675651801,0.154615402507128,53.978027885166206
3.457,52.78135305096042,0.1549835973148723,53.99124930825259
3.458,52.79207679099922,0.15535047458654083,54.00444893141908
3.459,52.80277753555962,0.15571603310562007,54.017626275883174
3.46,52.81345485735376,0.1560802715641181,54.03078087616797
3.461,52.82410834316286,0.15644318845733945,54.043912280425076
3.462,52.83473759392948,0.15680478240694792,54.05702005048626
3.463,52.84534222499257,0.15716505115070586,54.07010376212409
3.464,52.85592186621538,0.15752399349181917,54.08316300516205
3.465,52.86647616211427,0.15788161009961182,54.09619738360249
3.466,52.877004772001364,0.15823789646799785,54.10920651577112
3.467,52.88750737023017,0.15859285326903125,54.12219003456431
3.468,52.8979836462684,0.15894647909601356,54.135147587504235
3.469,52.9084333048381,0.15929877210805438,54.148078836892765
3.47,52.9188560659537,0.15964973113491765,54.1609834598442
3.471,52.92925166524282,0.15999935542750632,54.17386114859238
3.472,52.939619854004285,0.1603476439103875,54.186711610567286
3.473,52.94996039909684,0.16069459468540015,54.19953456826485
3.474,52.960273083428746,0.16104020716121492,54.21232975974482
3.475,52.97055770570974,0.16138448035285938,54.22509693836878
3.476,52.980814080759195,0.16172741338627925,54.237835873125945
3.477,52.99104203952653,0.1620690046356978,54.25054634863946
3.478,53.00124142920305,0.16240925369004802,54.263228165275606
3.479,53.01141211322271,0.16274815885329244,54.27588113915624
3.48,53.02155397144199,0.16308571950406495,54.28850510232313
3.481,53.031666900134944,0.16342193524596346,54.30109990273863
3.482,53.04175081196851,0.16375680427594194,54.31366540426377
3.483,53.05180563631349,0.16409032579338717,54.32620148695783
3.484,53.061831319075914,0.16442249983680898,54.33870804692725
3.485,53.07182782269576,0.16475332466677126,54.351184996307325
3.486,53.081795126406355,0.16508279937600692,54.363632263532764
3.487,53.091733226016146,0.16541092354459058,54.37604979310147
3.488,53.10164213408714,0.16573769643992864,54.38843754578154
3.489,53.11152188000398,0.1660631171450596,54.400795498660685
3.49,53.121372509707456,0.16638718464002517,54.41312364488152
3.491,53.131194085936436,0.16670989853414925,54.42542199388217
3.492,53.14098668812111,0.1670312575942485,54.43769057131185
3.493,53.15075041253707,0.16735126105693796,54.449929419156945
3.494,53.160485371965244,0.1676699088661418,54.462138595413876
3.495,53.17019169592232,0.1679871997983882,54.47431817432451
3.496,53.17986953057666,0.16830313343904982,54.48646824629624
3.497,53.189519038680984,0.16861770856634564,54.49858891782516
3.498,53.19914039943771,0.16893092525442477,54.51068031135253
3.499,53.208733808647445,0.1692427820826847,54.5227425654616
3.5,53.218299478481704,0.16955327865552808,54.53477583459579
3.501,53.227837637514675,0.1698624140775739,54.546780289137004
3.502,53.23734853051097,0.17017018830794073,54.558756115157834
3.503,53.246832418572694,0.17047660000188636,54.57070351460895
3.504,53.25628957878264,0.17078164904725296,54.58262270493141
3.505,53.265720304403274,0.17108533409182605,54.594513919290335
3.506,53.2751249045164,0.17138765518564483,54.606377406187974
3.507,53.28450370397007,0.17168861129912968,54.618213429424074
3.508,53.29385704351907,0.17198820193653216,54.63002226826492
3.509,53.30318527929214,0.17228642664102742,54.64180421687146
3.51,53.3124887830053,0.17258328446527235,54.65355958454461
3.511,53.32176794159828,0.1728787742623937,54.66528869535571
3.512,53.33102315736112,0.17317289649938708,54.676991888292804
3.513,53.34025484748073,0.173465649651217,54.68866951678423
3.514,53.34946344403199,0.17375703332391973,54.7003219487208
3.515,53.35864939400225,0.17404704680469926,54.71194956646865
3.516,53.36781315873842,0.17433568971780414,54.72355276633307
3.517,53.376955214134775,0.17462296094453997,54.735131958749136
3.518,53.38607605016439,0.17490886057500898,54.746687567797224
3.519,53.39517617104953,0.1751933867844542,54.75822003142102
3.52,53.40425609463885,0.17547653899969348,54.7697298007855
3.521,53.41331635262681,0.1757583180246789,54.781217340488794
3.522,53.422357490105554,0.17603872146920732,54.792683128165194
3.523,53.43138006543053,0.17631774940466458,54.80412765430479
3.524,53.44038464994077,0.1765954005180307,54.81555142201013
3.525,53.44937182788356,0.1768716746403384,54.82695494694573
3.526,53.45834219616168,0.1771465710228448,54.83833875705483
3.527,53.46729636387191,0.1774200884033064,54.849703392124596
3.528,53.476234952517615,0.1776922271238465,54.861049404013656
3.529,53.48515859533476,0.17796298457184465,54.87237735597688
3.53,53.49406793733751,0.1782323609723983,54.88368782272143
3.531,53.50296363485496,0.17850035591603738,54.89498138994591
3.532,53.51184635541875,0.17876696830721214,54.90625865425936
3.533,53.52071677762505,0.17903219627563918,54.91752022303426
3.534,53.5295755905109,0.17929603996963955,54.92876671379284
3.535,53.53842349374577,0.1795584982070327,54.93999875442131
3.536,53.547261196829666,0.17981956997678847,54.951216982364656
3.537,53.556089419344964,0.1800792550162556,54.96242204490129
3.538,53.56490889036942,0.18033755156353448,54.973614598561326
3.539,53.573720348218984,0.18059445877728655,54.98479530888305
3.54,53.58252454030253,0.18084997580801573,54.99596485027607
3.541,53.59132222259997,0.18110410187520118,55.00712390552282
3.542,53.60011415965069,0.181356835625919,55.018273165761116
3.543,53.60890112409753,0.18160817569864246,55.029413330056784
3.544,53.61768389626387,0.18185812161341072,55.04054510499758
3.545,53.6264632640916,0.18210667188325957,55.05166920461657
3.546,53.63524002270045,0.1823538257413363,55.06278635000447
3.547,53.64401497415454,0.18259958171106605,55.07389726906557
3.548,53.65278892702022,0.18284393904332744,55.085002696093184
3.549,53.661562696158896,0.18308689558908778,55.09610337158523
3.55,53.670337102381616,0.18332845105133622,55.107200041913
3.551,53.6791129720266,0.18356860368982808,55.118293458898364
3.552,53.68789113691941,0.18380735252033628,55.12938437981947
3.553,53.69667243365964,0.18404469648313596,55.14047356669114
