Time,phi_r,phi_l,trq_r,trq_l
1.126,0.04666100117381027,-0.046658273895699764,-0.9683078901706484,-6.087453416557026
1.127,0.04728523156707847,-0.04728246109258283,-0.9683989293519134,-6.08775413007534
1.128,0.04791194630378593,-0.04790913305865274,-0.9685419136583681,-6.088250977523418
1.129,0.04854112054099033,-0.04853826494422098,-0.9687341033516496,-6.088947294404628
1.13,0.049172729684149485,-0.04916983214812998,-0.9689723064885225,-6.089839802286975
1.131,0.04980674938462997,-0.04980381031532222,-0.9692529355115519,-6.09091978284445
1.132,0.05044315553724403,-0.050440175334418136,-0.9695721018336527,-6.092174270739031
1.133,0.05108192427781778,-0.05107890333531362,-0.9699257279296436,-6.093587207739203
1.134,0.051723031980776796,-0.05171997068678724,-0.9703096641232761,-6.095140517703713
1.135,0.05236645525675963,-0.05236335399411818,-0.9707198008678186,-6.096815074035621
1.136,0.053012170950262436,-0.05300903009672897,-0.9711521704230747,-6.098591541004013
1.137,0.053660156137295544,-0.053656976065835416,-0.9716030336125164,-6.100451078912103
1.138,0.054310388123077535,-0.05430716920211687,-0.9720689494669704,-6.1023759102325865
1.139,0.05496284443974222,-0.05495958703341053,-0.9725468267671532,-6.104349749932674
1.14,0.05561750284407593,-0.05561420731242084,-0.9730339577978111,-6.106358107597015
1.141,0.056274341315274146,-0.056271008014449286,-0.9735280353318835,-6.108388472751099
1.142,0.05693333805272226,-0.056929967335147325,-0.9740271545968069,-6.110430396996426
1.143,0.05759447147379405,-0.05759106368829503,-0.9745298022615293,-6.112475488087316
1.144,0.058257720211681685,-0.0582542757036002,-0.9750348348103455,-6.114517331565907
1.145,0.058923063113233864,-0.058919582224517875,-0.9755414485748675,-6.116551355689045
1.146,0.059590479236828406,-0.0595869623060965,-0.9760491438498771,-6.118574654498
1.147,0.06025994785025614,-0.060256395212850755,-0.976557685187643,-6.120585782796315
1.148,0.06093144842862982,-0.060927860416650326,-0.9770670598863641,-6.122584535574126
1.149,0.061604960652312725,-0.061601337594640704,-0.9775774363289546,-6.1245717224663485
1.15,0.06228046440486755,-0.062276806627176384,-0.9780891236834516,-6.126548946424472
1.151,0.06295793977102457,-0.06295424759579049,-0.9786025340585183,-6.128518393728807
1.152,0.06363736703467417,-0.06363364078117151,-0.9791181479821695,-6.130482640995702
1.153,0.06431872667687032,-0.06431496666117553,-0.9796364838596704,-6.132444483128649
1.154,0.06500199937386346,-0.06499820590885008,-0.9801580717108039,-6.134406784515813
1.155,0.06568716599514403,-0.06568333939048543,-0.9806834313847342,-6.136372354979408
1.156,0.0663742076015169,-0.06637034816368192,-0.9812130551573905,-6.138343850203422
1.157,0.06706310544317891,-0.06705921347543864,-0.9817473946167946,-6.140323696057321
1.158,0.06775384095783157,-0.0677499167602651,-0.982286851416459,-6.142314035134997
1.159,0.06844639576880195,-0.0684424396383072,-0.9828317716275418,-6.144316693510966
1.16,0.06914075168318662,-0.06913676391349277,-0.9833824431564225,-6.146333165175269
1.161,0.0698368906900144,-0.06983287157170093,-0.9839390957885504,-6.1483646115971045
1.162,0.07053479495842377,-0.07053074477894228,-0.9845019033888692,-6.15041187359197
1.163,0.07123444683586472,-0.07123036587956211,-0.9850709877326075,-6.152475492943218
1.164,0.07193582884631264,-0.07193171739445958,-0.9856464236066009,-6.154555741105716
1.165,0.07263892368850347,-0.0726347820193265,-0.9862282446571842,-6.156652652696484
1.166,0.07334371423418663,-0.07333954262289577,-0.9868164497407711,-6.158766061680581
1.167,0.07405018352639196,-0.07404598224522019,-0.9874110093517589,-6.160895638408139
1.168,0.07475831477772116,-0.07475408409595286,-0.9880118719594557,-6.16304092601683
1.169,0.0754680913686465,-0.07546383155265879,-0.9886189699638475,-6.165201374932726
1.17,0.07617949684583569,-0.07617520815913181,-0.9892322251988572,-6.167376374618145
1.171,0.07689251492048974,-0.07688819762373544,-0.9898515537842438,-6.16956528180455
1.172,0.0776071294666959,-0.07760278381775443,-0.9904768703037429,-6.171767444847914
1.173,0.07832332451979974,-0.07831895077377027,-0.9911080913048331,-6.173982224124487
1.174,0.07904108427479342,-0.0790366826840403,-0.9917451380484941,-6.176209008173955
1.175,0.07976039308471668,-0.0797559638989096,-0.9923879386042969,-6.178447226077889
1.176,0.08048123545908087,-0.0804767789252212,-0.9930364292969481,-6.180696356035091
1.177,0.0812035960622999,-0.08119911242475641,-0.99369055559528,-6.182955930739815
1.178,0.0819274597121422,-0.08192294921268228,-0.9943502724804892,-6.185225539674504
1.179,0.08265281137819988,-0.0826482742560195,-0.9950155443962363,-6.187504829127301
1.18,0.08337963618036888,-0.0833750726721183,-0.9956863448718635,-6.189793500011482
1.181,0.0841079193873442,-0.08410332972716006,-0.9963626558530083,-6.19209130423916
1.182,0.08483764641513643,-0.08483303083466609,-0.9970444668519205,-6.194398039839628
1.183,0.08556880282559245,-0.08556416155402413,-0.9977317739632213,-6.196713545381966
1.184,0.08630137432494513,-0.08629670758902908,-0.9984245788190365,-6.199037693935851
1.185,0.08703534676236059,-0.0870306547864379,-0.9991228875119779,-6.201370386916743
