Time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,B_phi_r,B_phi_l,B_trq_r,B_trq_l,C_phi_r,C_phi_l,C_trq_r,C_trq_l,D_phi_r,D_phi_l,D_trq_r,D_trq_l,
1.111,-2.47779e-06,2.19975e-06,0,0,-2.18652e-06,2.46461e-06,0,0,-2.18625e-06,2.4631e-06,0,0,-2.47783e-06,2.19963e-06,0,0,
1.112,-2.47721e-06,2.20003e-06,0,0,-2.1868e-06,2.46405e-06,0,0,-2.18653e-06,2.46253e-06,0,0,-2.47726e-06,2.19992e-06,0,0,
1.113,-2.47664e-06,2.2003e-06,0,0,-2.18709e-06,2.4635e-06,0,0,-2.1868e-06,2.46197e-06,0,0,-2.4767e-06,2.20021e-06,0,0,
1.114,-2.47607e-06,2.20058e-06,0,0,-2.18738e-06,2.46295e-06,0,0,-2.18707e-06,2.46141e-06,0,0,-2.47614e-06,2.2005e-06,0,0,
1.115,-2.47551e-06,2.20086e-06,0,0,-2.18766e-06,2.4624e-06,0,0,-2.18735e-06,2.46085e-06,0,0,-2.47558e-06,2.20079e-06,0,0,
1.116,-2.47494e-06,2.20113e-06,0,0,-2.18795e-06,2.46185e-06,0,0,-2.18762e-06,2.4603e-06,0,0,-2.47502e-06,2.20107e-06,0,0,
1.117,-2.47438e-06,2.20141e-06,0,0,-2.18823e-06,2.46131e-06,0,0,-2.18789e-06,2.45975e-06,0,0,-2.47447e-06,2.20136e-06,0,0,
1.118,-2.47383e-06,2.20168e-06,0,0,-2.18852e-06,2.46077e-06,0,0,-2.18816e-06,2.4592e-06,0,0,-2.47393e-06,2.20165e-06,0,0,
1.119,-2.47328e-06,2.20196e-06,0,0,-2.1888e-06,2.46024e-06,0,0,-2.18844e-06,2.45866e-06,0,0,-2.47338e-06,2.20193e-06,0,0,
1.12,-2.47273e-06,2.20223e-06,0,0,-2.18908e-06,2.4597e-06,0,0,-2.18871e-06,2.45812e-06,0,0,-2.47284e-06,2.20222e-06,0,0,
1.121,-2.47218e-06,2.20251e-06,0,0,-2.18937e-06,2.45918e-06,0,0,-2.18898e-06,2.45758e-06,0,0,-2.4723e-06,2.2025e-06,0,0,
1.122,-2.47164e-06,2.20278e-06,0,0,-2.18965e-06,2.45865e-06,0,0,-2.18925e-06,2.45705e-06,0,0,-2.47177e-06,2.20278e-06,0,0,
1.123,-2.4711e-06,2.20305e-06,0,0,-2.18993e-06,2.45813e-06,0,0,-2.18952e-06,2.45651e-06,0,0,-2.47124e-06,2.20307e-06,0,0,
1.124,-2.47057e-06,2.20332e-06,0,0,-2.19021e-06,2.45761e-06,0,0,-2.18979e-06,2.45599e-06,0,0,-2.47071e-06,2.20335e-06,0,0,
1.125,-2.47004e-06,2.2036e-06,0,0,-2.19049e-06,2.45709e-06,0,0,-2.19005e-06,2.45546e-06,0,0,-2.47018e-06,2.20363e-06,0,0,
1.126,-2.46951e-06,2.20387e-06,0,0,-2.19077e-06,2.45658e-06,0,0,-2.19032e-06,2.45494e-06,0,0,-2.46966e-06,2.20391e-06,0,0,
1.127,-2.46898e-06,2.20414e-06,0,0,-2.19105e-06,2.45607e-06,0,0,-2.19059e-06,2.45442e-06,0,0,-2.46914e-06,2.20419e-06,0,0,
1.128,-2.46846e-06,2.20441e-06,0,0,-2.19133e-06,2.45556e-06,0,0,-2.19086e-06,2.45391e-06,0,0,-2.46863e-06,2.20447e-06,0,0,
1.129,-2.46794e-06,2.20468e-06,0,0,-2.1916e-06,2.45506e-06,0,0,-2.19112e-06,2.4534e-06,0,0,-2.46812e-06,2.20475e-06,0,0,
1.13,-2.46743e-06,2.20495e-06,0,0,-2.19188e-06,2.45456e-06,0,0,-2.19139e-06,2.45289e-06,0,0,-2.46761e-06,2.20503e-06,0,0,
1.131,-2.46691e-06,2.20521e-06,0,0,-2.19216e-06,2.45406e-06,0,0,-2.19166e-06,2.45238e-06,0,0,-2.4671e-06,2.20531e-06,0,0,
1.132,-2.4664e-06,2.20548e-06,0,0,-2.19243e-06,2.45357e-06,0,0,-2.19192e-06,2.45188e-06,0,0,-2.4666e-06,2.20558e-06,0,0,
1.133,-2.4659e-06,2.20575e-06,0,0,-2.19271e-06,2.45308e-06,0,0,-2.19219e-06,2.45138e-06,0,0,-2.4661e-06,2.20586e-06,0,0,
1.134,-2.46539e-06,2.20602e-06,0,0,-2.19298e-06,2.45259e-06,0,0,-2.19245e-06,2.45089e-06,0,0,-2.4656e-06,2.20614e-06,0,0,
1.135,-2.46489e-06,2.20628e-06,0,0,-2.19326e-06,2.4521e-06,0,0,-2.19271e-06,2.45039e-06,0,0,-2.46511e-06,2.20641e-06,0,0,
1.136,-2.4644e-06,2.20655e-06,0,0,-2.19353e-06,2.45162e-06,0,0,-2.19298e-06,2.4499e-06,0,0,-2.46462e-06,2.20669e-06,0,0,
1.137,-2.4639e-06,2.20681e-06,0,0,-2.1938e-06,2.45114e-06,0,0,-2.19324e-06,2.44942e-06,0,0,-2.46413e-06,2.20696e-06,0,0,
1.138,-2.46341e-06,2.20708e-06,0,0,-2.19408e-06,2.45066e-06,0,0,-2.1935e-06,2.44893e-06,0,0,-2.46364e-06,2.20723e-06,0,0,
1.139,-2.46292e-06,2.20734e-06,0,0,-2.19435e-06,2.45019e-06,0,0,-2.19376e-06,2.44845e-06,0,0,-2.46316e-06,2.20751e-06,0,0,
1.14,-2.46244e-06,2.20761e-06,0,0,-2.19462e-06,2.44971e-06,0,0,-2.19403e-06,2.44797e-06,0,0,-2.46268e-06,2.20778e-06,0,0,
1.141,-2.46195e-06,2.20787e-06,0,0,-2.19489e-06,2.44924e-06,0,0,-2.19429e-06,2.44749e-06,0,0,-2.4622e-06,2.20805e-06,0,0,
1.142,-2.46147e-06,2.20814e-06,0,0,-2.19516e-06,2.44878e-06,0,0,-2.19455e-06,2.44702e-06,0,0,-2.46173e-06,2.20832e-06,0,0,
1.143,-2.461e-06,2.2084e-06,0,0,-2.19543e-06,2.44831e-06,0,0,-2.19481e-06,2.44655e-06,0,0,-2.46126e-06,2.20859e-06,0,0,
1.144,-2.46052e-06,2.20866e-06,0,0,-2.1957e-06,2.44785e-06,0,0,-2.19507e-06,2.44608e-06,0,0,-2.46079e-06,2.20886e-06,0,0,
1.145,-2.46005e-06,2.20892e-06,0,0,-2.19597e-06,2.44739e-06,0,0,-2.19533e-06,2.44562e-06,0,0,-2.46032e-06,2.20913e-06,0,0,
1.146,-2.45958e-06,2.20918e-06,0,0,-2.19624e-06,2.44694e-06,0,0,-2.19558e-06,2.44515e-06,0,0,-2.45986e-06,2.2094e-06,0,0,
1.147,-2.45912e-06,2.20944e-06,0,0,-2.1965e-06,2.44649e-06,0,0,-2.19584e-06,2.44469e-06,0,0,-2.4594e-06,2.20967e-06,0,0,
1.148,-2.45865e-06,2.2097e-06,0,0,-2.19677e-06,2.44603e-06,0,0,-2.1961e-06,2.44424e-06,0,0,-2.45894e-06,2.20994e-06,0,0,
1.149,-2.45819e-06,2.20996e-06,0,0,-2.19704e-06,2.44559e-06,0,0,-2.19636e-06,2.44378e-06,0,0,-2.45849e-06,2.21021e-06,0,0,
1.15,-2.45773e-06,2.21022e-06,0,0,-2.1973e-06,2.44514e-06,0,0,-2.19661e-06,2.44333e-06,0,0,-2.45803e-06,2.21047e-06,0,0,
1.151,-2.45728e-06,2.21048e-06,0,0,-2.19757e-06,2.4447e-06,0,0,-2.19687e-06,2.44288e-06,0,0,-2.45758e-06,2.21074e-06,0,0,
1.152,-2.45683e-06,2.21074e-06,0,0,-2.19783e-06,2.44426e-06,0,0,-2.19713e-06,2.44243e-06,0,0,-2.45714e-06,2.21101e-06,0,0,
1.153,-2.45638e-06,2.211e-06,0,0,-2.19809e-06,2.44382e-06,0,0,-2.19738e-06,2.44199e-06,0,0,-2.45669e-06,2.21127e-06,0,0,
