time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.022,0.0122564,0.00745754,3.05453,-2.91372,0.112065,0.0303998,0.0272288,1.81459,-1.29342,0.112035,0.00723811,0.00406734,3.06816,-2.98944,0.112037,0.0270095,0.0222106,1.91174,-1.50009,0.112065,-0.0300008,6.22534e-08,0.113124,9.03054e-05,4.66462e-07,2.44358e-07,1,-9.10326e-05,1.03409e-06,0.0119653,0.0149947,0.00262142,-7.93044e-05,-0.00133352,0.00174301,0.203787
1.023,0.0133299,0.00811062,3.1406,-3.01252,0.112078,0.0330623,0.0296135,1.62929,-1.12336,0.112045,0.00787209,0.00442349,3.17321,-3.09804,0.112048,0.0293751,0.0241557,1.77094,-1.37246,0.112078,-0.0300008,6.22527e-08,0.113136,9.83253e-05,1.96936e-06,2.01462e-07,1,-9.27781e-05,1.08817e-06,0.012045,0.0160397,0.00300578,-8.6057e-05,-0.00178444,0.00199891,0.0796399
1.024,0.0144382,0.00878488,3.23829,-3.13095,0.112091,0.0358112,0.0320755,1.58962,-1.05021,0.112055,0.00852664,0.0047912,3.24323,-3.18147,0.11206,0.0318174,0.026164,1.70726,-1.3186,0.112092,-0.0300008,6.22521e-08,0.113147,0.000106401,3.44865e-06,1.52657e-07,1,-9.43897e-05,1.06548e-06,0.0122142,0.0161519,0.00295857,-9.78679e-05,-0.00168048,0.0021009,0.169209
1.025,0.0155803,0.00947969,3.22565,-3.20684,0.112106,0.0386438,0.0346125,2.82445,-2.07352,0.112071,0.00920115,0.00517011,2.89771,-2.91384,0.112072,0.0343342,0.0282334,2.13549,-1.84943,0.112105,-0.0300008,6.22514e-08,0.11316,0.000105722,-7.15427e-07,8.48183e-08,1,-8.99722e-05,-3.08883e-07,0.01392,-0.00135918,-0.00832816,-0.000134797,0.00443425,0.00106024,1.70586
1.026,0.0167552,0.0101944,3.14466,-3.08821,0.112123,0.0415578,0.0372224,2.1184,-1.42546,0.112088,0.00989501,0.0055599,3.01048,-2.99052,0.112084,0.0369232,0.0303623,1.95666,-1.67798,0.112117,-0.0300008,6.22506e-08,0.113174,0.000105409,-6.58937e-06,1.80697e-08,1,-9.3647e-05,-2.31372e-07,0.0146344,-0.000625723,-0.0117479,-0.000132255,-0.00353608,0.00229624,0.714346
1.027,0.0179618,0.0109285,2.85219,-2.74647,0.112142,0.0445505,0.0399029,2.5952,-1.83305,0.112106,0.0106076,0.00596023,2.92538,-2.85562,0.112099,0.0395822,0.0325487,3.22804,-2.45781,0.112133,-0.0300008,6.22497e-08,0.11319,0.000109604,-1.02345e-05,-2.07005e-08,1,-0.000106584,4.5425e-07,0.0166152,0.00839095,-0.00729018,-7.68273e-05,-0.0126957,0.00327045,1.98083
1.028,0.0191993,0.0116814,2.72208,-2.64533,0.112162,0.0476198,0.0426518,2.5637,-1.85491,0.112124,0.0113385,0.00637079,2.77544,-2.73307,0.112115,0.0423092,0.034791,2.80214,-2.11004,0.11215,-0.0300008,6.22488e-08,0.113207,0.000113933,-1.377e-05,-6.29307e-08,1,-0.000101845,4.28424e-07,0.0178625,0.00865738,-0.00707105,-8.37739e-05,0.00504358,0.00249376,1.24727
1.029,0.0204667,0.0124524,2.52008,-2.43155,0.112183,0.0507632,0.0454672,2.64504,-1.94663,0.112143,0.012087,0.00679127,2.65047,-2.59418,0.112132,0.045102,0.0370876,3.11934,-2.40149,0.11217,-0.0300008,6.22478e-08,0.113225,0.000120814,-1.55731e-05,-1.0913e-07,1,-0.000100581,7.83461e-07,0.0191883,0.0137631,-0.0036062,-9.21778e-05,0.00161098,0.00304588,1.32583
1.03,0.0217631,0.0132411,2.39193,-2.30763,0.112204,0.0539786,0.0483471,2.68718,-2.01938,0.112162,0.0128526,0.00722138,2.51006,-2.46009,0.112151,0.0479588,0.0394366,3.10762,-2.42058,0.112192,-0.0300008,6.22466e-08,0.113244,0.000129358,-1.59574e-05,-1.60528e-07,1,-9.72126e-05,9.82575e-07,0.020296,0.0170871,-0.000768649,-0.000102968,0.00371655,0.00302377,1.10771
1.031,0.0230877,0.0140469,2.26049,-2.18992,0.112226,0.0572638,0.0512894,2.63977,-2.01627,0.112182,0.0136349,0.00766082,2.36914,-2.32557,0.11217,0.0508777,0.0418367,2.99775,-2.35733,0.112214,-0.0300008,6.22454e-08,0.113264,0.000138447,-1.52108e-05,-2.18027e-07,1,-9.3437e-05,1.01352e-06,0.0209918,0.0181774,0.00149311,-0.000115482,0.00409512,0.00293997,0.695836
1.032,0.0244396,0.0148693,2.17553,-2.11806,0.112249,0.0606167,0.0542924,2.61089,-2.02312,0.112201,0.0144333,0.00810931,2.24282,-2.20871,0.112191,0.0538566,0.0442862,2.91205,-2.31662,0.112238,-0.0300008,6.2244e-08,0.113285,0.000147842,-1.37518e-05,-2.81554e-07,1,-8.97697e-05,1.0111e-06,0.0213914,0.0187903,0.00291805,-0.000127743,0.00394803,0.0030164,0.399577
1.033,0.0258179,0.0157078,2.13427,-2.08519,0.112271,0.0640352,0.0573542,2.55372,-2.01154,0.11222,0.0152473,0.00856659,2.16113,-2.13609,0.112211,0.0568939,0.0467837,2.81339,-2.25977,0.112262,-0.0300008,6.22426e-08,0.113305,0.000157636,-1.19214e-05,-3.49706e-07,1,-8.62227e-05,1.01986e-06,0.0215436,0.0195879,0.00366068,-0.000137115,0.00378453,0.00314958,0.152198
1.034,0.0272219,0.0165619,2.04785,-2.00677,0.112293,0.0675174,0.0604731,2.53698,-2.02531,0.112239,0.0160765,0.00903239,2.08888,-2.06426,0.112232,0.0599878,0.0493278,2.83699,-2.30078,0.112286,-0.0300008,6.2241e-08,0.113326,0.000167981,-9.39958e-06,-4.22664e-07,1,-8.3569e-05,1.04727e-06,0.0215652,0.0206904,0.00504372,-0.000146958,0.00283854,0.00333048,0.0215879
