time,force_plate_1_fx,force_plate_1_fy,force_plate_1_fz,force_plate_2_fx,force_plate_2_fy,force_plate_2_fz,force_plate_3_fx,force_plate_3_fy,force_plate_3_fz,force_plate_4_fx,force_plate_4_fy,force_plate_4_fz
0.77,2.974241795573671e-06,3.706670683389665e-08,55.12420968400319,2.973823939427672e-06,-3.869163221100274e-08,55.11661642232485,-1.3521077414178093e-06,-3.783233778815198e-08,55.13239686963139,-1.3515198734559715e-06,3.782860962886635e-08,55.10843407210797
0.771,2.974241822212278e-06,3.7066706671866364e-08,55.12420968403674,2.973823965775106e-06,-3.8691632374962165e-08,55.116616422530086,-1.3521077150747865e-06,-3.783233760194073e-08,55.132396869741626,-1.3515198468095465e-06,3.782860980982308e-08,55.10843407228569
0.772,2.974241848907704e-06,3.706670650900038e-08,55.12420968417314,2.9738239921386237e-06,-3.8691632536767904e-08,55.116616422595115,-1.3521076887113163e-06,-3.7832337413691046e-08,55.13239686992388,-1.351519820144159e-06,3.7828609997725375e-08,55.10843407239176
0.773,2.9742418756160994e-06,3.7066706352077254e-08,55.1242096843571,2.9738240185259498e-06,-3.8691632700376765e-08,55.11661642265713,-1.3521076623231746e-06,-3.7832337227642086e-08,55.132396869948096,-1.351519793451885e-06,3.782861018544397e-08,55.10843407244853
0.774,2.9742419023442545e-06,3.706670618772245e-08,55.12420968439754,2.9738240449363964e-06,-3.869163285193981e-08,55.11661642282972,-1.3521076359117073e-06,-3.783233704076081e-08,55.13239687003339,-1.3515197667373265e-06,3.7828610371604923e-08,55.1084340725518
0.775,2.9742419290949e-06,3.706670602702484e-08,55.124209684540716,2.973824071366162e-06,-3.8691633018505267e-08,55.11661642290822,-1.35210760948313e-06,-3.783233685849184e-08,55.132396870215814,-1.3515197400124841e-06,3.7828610559209725e-08,55.10843407273423
0.776,2.974241955868717e-06,3.706670586768553e-08,55.12420968458929,2.9738240978186115e-06,-3.869163318081017e-08,55.11661642308009,-1.3521075830236053e-06,-3.783233666930499e-08,55.13239687021361,-1.3515197132497455e-06,3.782861074659395e-08,55.1084340728179
0.777,2.9742419826670777e-06,3.706670570468555e-08,55.12420968475115,2.9738241243058264e-06,-3.869163334159397e-08,55.1166164232077,-1.3521075565531735e-06,-3.78323364860393e-08,55.13239687041977,-1.3515196864680367e-06,3.7828610933415805e-08,55.108434072954765
0.778,2.974242009480905e-06,3.706670554644807e-08,55.12420968482519,2.9738241507925975e-06,-3.8691633500150806e-08,55.11661642326655,-1.352107530054693e-06,-3.78323362961932e-08,55.13239687047219,-1.3515196596746397e-06,3.782861111943663e-08,55.10843407307057
0.779,2.974242036306574e-06,3.7066705384710836e-08,55.12420968486329,2.9738241773061687e-06,-3.8691633661772765e-08,55.11661642326028,-1.352107503536653e-06,-3.783233611333496e-08,55.13239687055369,-1.3515196328445915e-06,3.782861130405357e-08,55.108434073058376
0.78,2.97424206316504e-06,3.70667052207049e-08,55.124209684920444,2.97382420384984e-06,-3.8691633824180136e-08,55.116616423376755,-1.3521074769890818e-06,-3.783233592223723e-08,55.13239687060798,-1.3515196060054387e-06,3.782861149338214e-08,55.108434073158804
0.781,2.974242090056283e-06,3.7066705059884606e-08,55.12420968508873,2.973824230415443e-06,-3.869163398392888e-08,55.11661642355374,-1.3521074504301706e-06,-3.783233573461946e-08,55.13239687074572,-1.3515195791424384e-06,3.7828611682372183e-08,55.10843407335159
0.782,2.9742421169620813e-06,3.7066704896842966e-08,55.124209685187594,2.9738242570122875e-06,-3.869163414813456e-08,55.1166164236481,-1.352107423838996e-06,-3.783233554983128e-08,55.13239687077272,-1.3515195522505052e-06,3.7828611865451764e-08,55.108434073393155
0.783,2.974242143882242e-06,3.7066704735584913e-08,55.12420968523037,2.9738242836209432e-06,-3.869163431131453e-08,55.11661642375911,-1.3521073972379847e-06,-3.7832335361119754e-08,55.13239687091631,-1.351519525340842e-06,3.782861205405442e-08,55.10843407353208
0.784,2.974242170815823e-06,3.706670457713761e-08,55.12420968527552,2.973824310226204e-06,-3.869163447171554e-08,55.11661642375931,-1.3521073706049742e-06,-3.7832335175753316e-08,55.132396870934116,-1.3515194984082113e-06,3.782861223969432e-08,55.10843407355392
0.785,2.974242197785101e-06,3.7066704416983555e-08,55.124209685313616,2.9738243368973505e-06,-3.869163463343062e-08,55.116616423885134,-1.352107343957471e-06,-3.7832334988567135e-08,55.132396870996686,-1.3515194714543084e-06,3.782861242593296e-08,55.108434073667055
0.786,2.974242224792381e-06,3.706670425677381e-08,55.124209685566996,2.9738243635407177e-06,-3.869163479411947e-08,55.11661642384655,-1.3521073172882473e-06,-3.783233480275664e-08,55.132396871202914,-1.351519444475943e-06,3.782861261454269e-08,55.10843407363993
0.787,2.974242251794697e-06,3.7066704090549975e-08,55.12420968553796,2.973824390250709e-06,-3.869163495614533e-08,55.11661642407502,-1.352107290590106e-06,-3.783233461380879e-08,55.132396871183644,-1.3515194174830037e-06,3.782861280288576e-08,55.10843407384469
