time,phi_r,phi_l,trq_r,trq_l
10.341,1.5707960546699304,-0.5235968642689126,-0.25848877167812434,-4.657114818883299
10.342,1.5707960650780348,-0.523596867248304,-0.22444147748294857,-5.436055354445446
10.343,1.5707960769343154,-0.5235968815671734,-0.40048014709142443,-4.293114294691611
10.344,1.5707960870146258,-0.5235968940742941,-0.25846652632486117,-4.431375027592931
10.345,1.5707960965141572,-0.5235969051761904,-0.23057758316527105,-4.534351423418452
10.346,1.5707961057760846,-0.5235969152882936,-0.2353444161850819,-4.600079954601941
10.347,1.5707961148508016,-0.5235969247382473,-0.2444004418257661,-4.635932297386721
10.348,1.570796123726045,-0.5235969337111142,-0.2516894143472041,-4.655289615662471
10.349,1.5707961323804005,-0.5235969423244446,-0.25619332170550224,-4.664320135332145
10.35,1.5707961408016957,-0.523596950639809,-0.2588582393302491,-4.668303037038267
10.351,1.5707961489757822,-0.5235969587167242,-0.2594267059091092,-4.6671786439799305
10.352,1.5707961569078792,-0.5235969665613185,-0.259808051864559,-4.666181853226314
10.353,1.5707961646008355,-0.5235969741900179,-0.2596845392313214,-4.6642148618029236
10.354,1.5707961720611812,-0.5235969816106261,-0.2594018039114065,-4.662162222889324
10.355,1.5707961792946867,-0.5235969888248828,-0.2591845402612961,-4.660542590097716
10.356,1.5707961863069202,-0.523596995844188,-0.25871100488826815,-4.658371389457537
10.357,1.5707961927682623,-0.5235969948688198,-0.22468835528270018,-5.436784528729498
10.358,1.5707962007951868,-0.523597005351867,-0.4005913016330492,-4.29389055318998
10.359,1.570796207158672,-0.5235970141450812,-0.2583250311486242,-4.43140293387571
10.36,1.5707962130490496,-0.523597021650076,-0.23013370591404442,-4.533880451018536
10.361,1.5707962188096334,-0.5235970282766917,-0.2347788245155179,-4.5992004118232215
10.362,1.5707962244872624,-0.5235970343480503,-0.24382252980929117,-4.634844737761601
10.363,1.5707962300717717,-0.5235970400341641,-0.2514995389018357,-4.6551589312280015
10.364,1.57079623553447,-0.5235970454578949,-0.2561080008020637,-4.664301592682306
10.365,1.5707962408577798,-0.5235970506860701,-0.2585372368223598,-4.667587193253267
10.366,1.5707962460292095,-0.5235970557624663,-0.25933498610634076,-4.667060950842552
10.367,1.57079625104768,-0.5235970607012916,-0.25956478898423874,-4.66560008109898
10.368,1.570796255917656,-0.5235970655026962,-0.2597735208669739,-4.664544710695694
10.369,1.5707962606367114,-0.5235970701868844,-0.2592835303063664,-4.6618815012359605
10.37,1.5707962652118015,-0.5235970747468279,-0.25904758226868385,-4.660227497733896
10.371,1.5707962696454478,-0.5235970791893436,-0.25866909632075313,-4.658322799892884
10.372,1.5707962739441255,-0.5235970835125059,-0.2584018238078608,-4.6569018408462775
10.373,1.5707962781121183,-0.523597087715868,-0.2582587344207947,-4.65593390827482
10.374,1.570796281815111,-0.5235970839980595,-0.22422710171360993,-5.435478698271882
10.375,1.5707962871681813,-0.5235970918211059,-0.40039375965986274,-4.2924699327113816
10.376,1.5707962909412347,-0.5235970980298124,-0.258425853300023,-4.430452454709255
10.377,1.5707962943180203,-0.5235971030325759,-0.2301058450137649,-4.532399503376113
10.378,1.5707962976349095,-0.5235971072409695,-0.2342347946201191,-4.596877302451817
10.379,1.5707963009495247,-0.5235971109412869,-0.24399161035624348,-4.635060052159873
10.38,1.570796304236127,-0.5235971143432474,-0.2511163611647299,-4.653733989620153
10.381,1.570796307472893,-0.523597117542959,-0.2559964387916007,-4.663780768511787
10.382,1.5707963106372689,-0.5235971206124459,-0.25848164597913337,-4.6672336470124485
10.383,1.5707963137174856,-0.52359712358734,-0.2595556322259499,-4.667473661166486
10.384,1.570796316708557,-0.5235971264860151,-0.25983599920129846,-4.666160393487218
10.385,1.5707963196096641,-0.5235971293132184,-0.25987871904423004,-4.6646600258265165
10.386,1.5707963224214985,-0.5235971320754187,-0.2596062552748102,-4.662639140822861
10.387,1.5707963251440975,-0.5235971347774271,-0.2591586120858004,-4.660392169718935
10.388,1.5707963277831263,-0.5235971374129162,-0.2589066637606264,-4.6588888226029574
10.389,1.5707963303379937,-0.5235971399878272,-0.2584869964329779,-4.6570304150823985
10.39,1.5707963324761312,-0.5235971346951667,-0.2244431936851708,-5.436100996555434
10.391,1.5707963363104445,-0.5235971409911109,-0.40048555344640113,-4.293093692842607
10.392,1.5707963386076393,-0.5235971457266224,-0.258279170386876,-4.430270347431871
10.393,1.5707963405570176,-0.5235971492785136,-0.23041003378522212,-4.534396973045219
10.394,1.570796342492417,-0.5235971520808382,-0.23483795604854535,-4.5987366704579005
10.395,1.5707963444639759,-0.5235971544301155,-0.24423126226080819,-4.635666012106468
10.396,1.5707963464537202,-0.5235971565032651,-0.25199995487304516,-4.656200894937633
10.397,1.5707963484269267,-0.5235971584302215,-0.2562938154663191,-4.664566573612513
10.398,1.5707963503638473,-0.5235971602686389,-0.2586178087856647,-4.667651464834667
10.399,1.5707963522528825,-0.5235971620519031,-0.25960874251282834,-4.6676813330744285
10.4,1.5707963540875793,-0.5235971637957464,-0.2598447458400498,-4.6662520485178325
10.401,1.5707963558673341,-0.523597165502915,-0.25986656653992196,-4.664696484572399
10.402,1.570796357588505,-0.5235971671864741,-0.25932700706520306,-4.661930616444982
10.403,1.5707963592544152,-0.5235971688396104,-0.2589520394072803,-4.659914084944336
10.404,1.5707963608680018,-0.5235971704579363,-0.2587216492980894,-4.658469455005427
10.405,1.5707963624301502,-0.5235971720433664,-0.2584071770101883,-4.656885780147441
10.406,1.5707963636053528,-0.5235971657900581,-0.22440082641856662,-5.4360185105582834
10.407,1.5707963665058986,-0.5235971711533525,-0.4004632839746388,-4.293060039126168
10.408,1.5707963678977503,-0.5235971749842268,-0.2582689181179645,-4.430270266666498
10.409,1.570796368972301,-0.5235971776454882,-0.23078910325036897,-4.535704961478319
10.41,1.570796370057314,-0.5235971795944092,-0.23501874445661644,-4.59895719339955
